N,P,K,pH,temperature,humidity,rainfall,label,yield_kg_per_ha
105.32,44.74,38.39,5.71,18.12,71.37,158.53,maize,6013.34
91.0,64.5,25.05,6.95,22.82,51.76,155.66,maize,6111.59
101.67,56.49,39.58,6.99,20.01,61.88,142.43,maize,6330.96
25.04,63.63,27.54,7.46,33.25,61.14,156.47,pigeonpeas,1403.97
117.58,15.05,57.7,5.9,33.76,62.23,77.71,watermelon,31106.93
83.62,57.94,40.58,5.86,22.15,90.54,179.73,rice,4644.95
19.46,9.43,45.85,6.98,36.53,67.83,261.98,coconut,10419.54
15.87,70.59,21.6,6.77,34.16,52.99,76.05,mungbean,1059.08
25.69,52.35,29.32,7.33,21.77,41.33,44.08,lentil,1667.14
101.57,60.68,26.73,6.83,24.23,51.07,112.92,maize,6682.01
17.48,135.85,198.43,6.49,3.54,74.97,141.21,apple,17139.77
13.32,16.29,5.34,6.42,26.07,68.89,184.82,orange,21006.0
20.98,64.29,28.4,7.76,23.11,39.82,21.06,lentil,1782.55
98.44,41.62,40.32,6.22,27.41,83.15,235.23,rice,5051.63
18.72,67.03,23.69,6.52,37.9,48.73,111.0,pigeonpeas,1369.24
42.04,74.52,27.27,6.52,29.34,50.57,145.3,blackgram,1112.06
18.17,49.26,39.05,6.37,26.98,61.19,73.97,grapes,17738.63
41.5,67.37,88.22,7.68,27.19,25.64,40.72,chickpea,1351.96
108.88,14.3,50.06,7.27,37.1,72.87,72.66,muskmelon,17793.92
112.48,62.85,38.21,5.95,23.28,54.02,103.01,maize,5794.04
72.5,53.0,52.53,6.12,27.69,70.59,324.38,jute,3325.41
80.12,46.03,43.45,6.93,26.23,72.91,214.99,jute,3100.76
90.48,27.2,54.92,5.51,32.47,61.46,59.92,watermelon,31079.24
111.72,23.01,62.07,6.3,39.79,79.63,87.83,muskmelon,16637.75
40.04,62.88,28.09,6.52,25.12,68.56,190.62,blackgram,1131.17
18.07,63.98,19.67,5.72,24.67,26.54,59.86,mothbeans,844.21
108.66,55.64,36.74,5.59,20.96,51.21,86.9,maize,6353.49
23.11,71.05,21.66,6.75,28.55,54.96,123.18,mungbean,1142.04
2.98,17.98,14.62,6.16,10.4,66.28,90.84,orange,21148.96
21.54,48.37,34.4,3.8,31.14,39.11,37.89,mothbeans,865.8
119.73,52.0,23.76,6.79,26.13,46.41,171.24,cotton,2805.3
118.09,49.64,59.06,5.75,28.32,79.15,187.98,rice,4971.81
97.98,52.33,60.73,7.07,30.54,37.62,80.03,pomegranate,17975.56
30.26,22.44,49.57,6.29,28.15,48.6,71.64,mango,11506.15
96.03,17.47,54.91,6.7,28.24,62.57,29.87,muskmelon,19309.85
40.69,55.93,48.99,6.22,30.72,89.52,261.74,papaya,44157.1
108.23,12.74,60.14,6.96,35.97,56.59,69.16,watermelon,30052.27
27.31,68.13,22.25,5.8,19.29,66.57,186.2,kidneybeans,1791.42
114.25,42.74,46.74,6.33,28.77,37.72,103.45,pomegranate,16157.28
39.59,33.85,34.76,5.51,32.89,51.67,100.08,mango,10821.15
45.47,61.25,22.09,6.39,31.28,55.74,122.35,blackgram,1102.84
90.03,65.19,248.93,6.19,26.2,94.65,148.53,banana,35517.03
101.78,49.8,52.64,6.0,23.66,93.25,288.58,rice,5288.31
29.63,34.87,30.2,5.74,25.29,48.65,128.95,mango,11898.77
17.84,59.87,28.51,6.6,14.36,39.45,71.48,lentil,1624.53
44.54,53.62,61.74,6.04,26.14,86.82,161.61,papaya,44703.65
19.95,8.53,12.45,7.01,19.31,65.98,141.64,orange,21264.56
129.66,47.57,23.88,6.96,28.57,59.21,167.2,cotton,2669.85
7.58,17.15,6.63,6.32,13.63,80.55,165.06,orange,20521.09
83.82,57.8,34.56,7.33,26.82,58.04,175.88,maize,6099.49
109.47,57.73,58.42,6.26,27.8,91.0,197.17,rice,4768.69
18.0,54.17,43.85,6.03,10.83,73.97,172.28,grapes,16554.22
19.31,6.92,32.22,6.21,28.73,68.2,287.9,coconut,11229.75
26.66,23.89,36.27,7.25,36.87,52.92,91.5,mango,12805.92
117.37,64.79,62.32,7.41,34.81,47.37,107.43,pomegranate,16584.33
116.68,21.63,63.48,7.44,39.1,70.26,52.46,muskmelon,15909.53
21.39,41.18,47.94,5.65,11.46,62.33,171.77,grapes,16659.29
15.12,69.6,34.8,6.22,19.45,62.12,180.47,kidneybeans,1702.69
119.54,56.37,54.83,6.2,22.29,93.41,201.21,rice,4727.48
17.89,146.46,200.22,6.26,9.28,77.67,109.28,apple,15953.39
108.58,23.21,50.24,7.04,38.79,78.73,51.08,muskmelon,16313.51
97.02,33.57,25.22,6.58,17.34,69.52,232.59,coffee,1326.3
57.82,69.74,60.5,6.63,29.49,90.34,255.67,papaya,43202.3
21.06,72.19,31.57,5.5,20.85,55.29,108.62,kidneybeans,1811.46
107.03,46.26,34.92,7.04,30.31,50.61,158.52,maize,6737.66
61.26,55.65,49.93,7.87,33.21,92.5,301.31,jute,3258.07
109.86,40.49,25.46,6.44,28.12,72.98,112.58,maize,6101.0
48.11,69.09,71.36,6.54,25.62,32.35,68.4,chickpea,1365.1
17.3,19.64,6.14,6.31,18.04,65.95,91.15,orange,19351.5
28.26,74.56,31.39,5.64,35.63,65.11,194.15,pigeonpeas,1219.22
10.08,19.1,9.18,6.53,23.53,85.04,193.24,orange,21148.16
17.64,19.18,15.36,6.28,16.81,67.25,80.51,orange,19728.22
19.01,61.15,29.93,6.92,28.15,26.18,79.92,mothbeans,904.11
114.47,11.6,63.46,7.0,38.91,68.18,56.8,muskmelon,16316.19
119.77,51.62,37.32,5.99,30.54,71.98,174.05,maize,5862.66
113.08,22.5,50.01,7.42,38.37,79.11,65.86,watermelon,32699.44
119.14,18.44,51.42,6.43,34.41,62.39,61.17,muskmelon,17348.4
80.04,64.05,30.99,6.7,28.2,63.77,100.61,maize,6177.81
109.61,48.31,36.53,5.65,18.18,53.07,81.84,maize,6286.13
13.42,124.71,197.0,6.3,17.6,73.34,158.02,apple,16187.34
40.42,56.03,58.53,6.17,28.32,70.79,166.86,papaya,42669.82
33.46,69.03,25.83,6.11,24.31,52.82,150.56,blackgram,1062.54
62.27,51.5,58.75,6.14,36.34,83.22,238.18,jute,2804.41
19.02,60.85,24.56,6.36,31.87,51.15,140.5,mungbean,1089.35
11.42,13.39,17.41,6.8,17.77,76.5,173.59,orange,23863.06
111.41,63.86,35.5,6.39,16.96,40.77,111.77,wheat,4042.75
18.4,14.49,15.38,7.35,24.35,76.3,99.17,orange,20416.88
104.75,68.74,52.89,6.28,14.85,54.69,121.81,wheat,3652.69
7.26,9.95,47.98,6.94,30.82,78.79,244.07,coconut,12078.31
15.02,70.54,29.1,6.93,30.53,52.39,89.59,pigeonpeas,1258.4
103.64,74.55,203.75,6.54,25.03,90.48,220.92,banana,35857.57
18.23,54.55,33.89,5.58,26.56,56.07,63.36,grapes,15543.32
25.04,49.72,19.95,3.96,27.44,44.84,37.86,mothbeans,912.22
94.02,21.51,55.59,6.89,32.62,74.21,22.49,muskmelon,17220.54
118.3,71.34,196.52,5.78,34.14,76.12,156.56,banana,32675.04
29.79,59.43,18.18,6.44,31.73,36.22,41.81,mothbeans,851.1
49.95,70.45,78.79,6.74,28.59,40.53,86.78,chickpea,1234.42
55.02,60.55,48.82,6.89,34.34,92.02,234.15,papaya,44482.37
81.38,23.1,33.9,6.14,20.09,89.44,180.82,coffee,1165.17
114.66,60.43,44.24,6.49,14.58,46.27,86.5,wheat,4413.7
113.55,56.11,63.39,6.22,38.04,45.73,85.48,pomegranate,18570.02
124.7,44.8,15.4,6.13,26.76,63.62,149.8,cotton,2801.72
114.37,50.22,46.9,7.49,13.86,44.74,62.39,wheat,4131.2
110.21,48.68,49.39,5.73,22.71,93.14,156.7,rice,5088.77
7.96,7.58,35.4,6.35,29.47,64.99,175.86,coconut,12200.77
85.35,64.03,22.1,6.56,22.63,56.6,143.24,maize,5743.42
45.63,59.25,34.37,6.44,30.15,62.38,131.2,blackgram,1048.83
94.86,31.63,26.94,7.32,22.74,65.11,233.86,coffee,1418.08
84.35,48.46,46.01,6.01,33.38,78.14,197.22,jute,3250.38
118.25,39.7,23.97,7.19,31.56,65.82,93.99,cotton,2825.72
81.06,40.99,52.03,6.23,23.9,83.37,263.69,rice,4654.99
32.73,77.96,71.01,6.03,17.74,40.27,66.64,chickpea,1227.9
17.85,15.18,12.86,6.59,19.17,71.24,133.95,orange,22181.87
109.37,12.85,61.59,7.01,32.0,60.84,86.76,watermelon,32089.05
25.82,72.39,27.51,7.13,33.88,56.98,80.66,mungbean,1108.47
20.35,23.33,30.19,6.29,31.21,49.82,153.18,mango,9768.33
112.41,27.49,34.19,6.56,16.21,80.21,253.36,coffee,1287.07
129.69,59.48,46.41,6.47,12.12,46.67,135.97,wheat,4128.82
6.42,124.92,198.57,5.74,15.62,56.02,108.51,apple,16975.2
48.53,55.35,82.04,7.89,20.4,33.18,78.7,chickpea,1219.84
15.97,66.08,26.54,6.24,25.87,40.44,86.46,mungbean,1114.71
115.77,22.75,64.33,7.08,32.21,70.87,58.43,watermelon,30291.7
18.49,72.89,24.75,6.79,28.28,50.54,64.44,mungbean,1085.04
100.2,53.69,47.71,6.57,23.86,59.12,94.74,wheat,3777.37
48.89,57.07,22.54,7.38,30.56,53.79,146.97,blackgram,1002.42
27.26,75.27,23.24,6.77,34.02,48.58,91.09,pigeonpeas,1273.0
26.19,63.8,23.96,4.18,28.63,32.04,79.5,mothbeans,932.94
18.5,74.73,19.77,5.55,25.42,49.26,158.82,pigeonpeas,1242.49
41.1,62.69,58.16,6.63,28.6,86.97,193.66,papaya,42689.29
112.95,12.68,52.02,6.89,28.82,64.04,54.24,muskmelon,17860.16
67.36,60.72,40.39,7.04,31.94,90.5,311.32,jute,2912.67
103.68,72.63,138.1,6.06,25.47,78.38,185.11,banana,40120.84
17.57,15.38,5.22,7.01,21.16,65.0,129.1,orange,20358.59
24.76,37.28,47.86,6.52,28.51,78.22,131.75,grapes,18329.0
35.42,74.43,88.2,6.88,16.22,39.97,91.96,chickpea,1314.33
4.38,148.04,201.72,6.88,20.17,71.6,146.01,apple,17207.13
29.31,63.84,26.91,6.4,18.3,63.49,169.86,kidneybeans,1814.22
91.44,59.29,41.89,6.8,30.62,91.6,296.38,rice,4876.31
22.19,48.41,30.82,4.86,27.79,32.82,57.95,mothbeans,892.21
47.6,75.47,84.28,6.31,15.73,36.35,74.96,chickpea,1313.02
96.33,66.9,169.99,6.14,29.41,85.12,171.24,banana,37767.45
84.68,41.75,53.16,6.13,31.61,88.42,200.05,rice,4898.64
19.47,66.52,32.63,5.52,31.54,68.57,138.26,pigeonpeas,1255.3
22.16,67.01,20.31,6.11,17.13,55.6,112.78,kidneybeans,1886.66
90.94,24.1,63.8,6.14,34.61,75.95,52.52,muskmelon,16380.26
106.71,35.8,27.5,6.28,22.23,67.42,248.91,coffee,1188.85
58.49,66.12,55.94,6.95,28.73,91.62,220.13,papaya,42202.02
4.81,2.54,42.64,6.98,31.07,93.06,132.34,coconut,12566.64
105.15,28.46,32.77,6.83,23.96,73.3,200.27,coffee,1302.98
25.97,61.99,26.29,5.74,26.7,64.52,126.69,kidneybeans,1937.38
87.76,25.02,32.5,7.16,16.54,81.09,155.69,coffee,1293.82
87.25,56.98,58.81,6.42,27.49,73.72,165.67,jute,3028.2
113.58,61.55,235.76,6.44,26.67,91.35,203.16,banana,32760.51
6.61,123.55,200.71,5.55,18.79,74.08,121.36,apple,18139.79
130.18,66.85,52.38,6.05,18.34,45.41,136.03,wheat,3922.46
73.12,55.76,50.65,6.78,25.21,87.55,159.43,jute,3338.16
119.82,57.68,48.89,6.28,29.84,46.19,87.78,pomegranate,16660.29
47.34,57.35,59.42,7.0,30.27,80.03,194.05,papaya,48615.77
23.18,24.86,39.6,6.27,27.11,50.76,181.92,mango,11755.62
112.61,53.39,17.21,6.55,22.61,50.89,117.97,cotton,2707.94
122.95,48.07,20.23,7.32,22.16,49.21,77.3,cotton,2765.74
6.24,10.64,5.68,6.44,25.0,69.28,136.17,orange,21350.28
77.77,50.68,54.05,6.23,28.46,82.72,267.09,jute,3200.97
4.44,8.19,43.85,5.69,27.74,74.23,220.68,coconut,11464.39
93.92,25.87,52.01,7.05,24.81,63.53,63.69,watermelon,30951.62
21.85,48.29,32.52,6.8,25.09,40.03,40.75,mothbeans,913.5
48.6,73.72,32.38,6.85,33.95,63.0,183.77,blackgram,1024.32
16.14,6.67,9.26,7.03,10.52,77.99,90.26,orange,20558.0
85.04,49.89,50.87,7.86,31.85,93.25,238.4,jute,3184.14
110.86,60.78,97.11,5.89,27.97,93.39,135.06,banana,34660.84
108.19,19.23,62.97,6.95,30.81,56.33,91.33,watermelon,34287.98
34.22,72.28,33.22,6.12,33.36,64.57,170.84,blackgram,1014.89
107.78,21.73,62.06,7.0,38.72,71.16,69.73,muskmelon,17942.25
111.95,41.38,25.68,7.1,33.22,56.47,63.68,cotton,2780.19
116.95,68.6,45.05,7.46,13.88,52.61,135.95,wheat,4046.08
86.99,40.73,28.13,6.8,27.76,53.91,123.1,maize,5963.11
29.95,69.55,27.0,7.91,16.63,52.0,58.09,lentil,1604.11
80.76,43.31,54.5,6.56,31.08,81.34,283.5,rice,4939.85
105.54,53.37,55.8,7.05,37.06,55.95,68.06,pomegranate,19322.3
119.82,64.22,24.42,7.01,23.86,54.01,153.23,maize,5773.33
97.51,15.12,63.77,6.97,36.32,62.65,33.49,muskmelon,17415.86
77.45,53.12,59.66,6.73,36.46,93.54,287.98,jute,3225.3
109.04,23.45,36.95,7.17,22.78,76.21,275.29,coffee,1242.57
18.59,16.06,19.14,6.68,13.31,81.4,158.4,orange,18896.3
40.66,64.53,46.47,6.08,25.76,90.74,214.12,papaya,41572.4
19.78,54.73,24.46,3.9,33.53,39.03,32.07,mothbeans,980.63
16.53,72.45,27.53,6.11,15.95,58.1,186.62,kidneybeans,1693.13
11.39,137.4,204.49,5.91,5.65,56.46,177.94,apple,20660.66
53.8,68.56,50.44,6.97,34.1,71.03,238.57,papaya,44824.94
18.13,1.89,38.77,7.31,27.95,64.66,215.21,coconut,11469.62
26.56,72.05,27.82,5.6,25.89,63.18,79.25,pigeonpeas,1286.39
139.47,54.45,51.3,6.25,14.25,50.46,82.44,wheat,3856.92
27.28,52.37,24.27,6.13,29.61,29.02,72.52,mothbeans,889.0
139.32,36.1,20.76,7.94,31.95,63.88,110.66,cotton,2545.4
34.03,62.45,29.07,6.74,32.98,68.1,132.65,blackgram,1070.45
12.43,11.75,14.17,6.86,10.45,73.6,134.94,orange,23625.6
28.86,43.08,42.34,6.72,24.81,64.74,110.63,grapes,18187.01
46.89,63.0,84.84,6.21,17.07,30.43,33.87,chickpea,1293.22
16.54,61.04,31.71,6.69,26.72,46.25,145.82,mungbean,1074.43
85.61,51.08,42.17,6.51,24.22,88.19,259.05,rice,4977.7
81.29,51.4,43.09,6.91,22.51,87.53,198.94,rice,4866.86
94.77,11.48,57.38,6.84,35.77,79.16,24.21,muskmelon,17976.31
85.69,62.5,37.69,7.4,25.27,69.6,175.95,maize,6063.45
105.62,44.03,57.76,6.72,25.24,86.57,171.15,rice,4896.82
119.03,27.2,34.73,6.5,24.33,65.97,293.07,coffee,1309.12
90.1,10.64,55.43,5.68,36.77,67.9,47.17,watermelon,30613.39
40.01,63.01,29.64,6.22,28.75,52.78,151.8,blackgram,1177.88
26.14,60.81,31.92,7.28,13.63,51.21,39.43,lentil,1674.38
5.38,145.14,203.9,6.79,1.21,66.68,118.87,apple,17335.66
99.14,53.12,35.51,7.46,25.55,58.56,112.3,maize,6689.94
19.1,49.7,23.09,6.58,28.37,29.88,56.83,mothbeans,913.49
105.86,21.89,54.03,7.18,34.3,64.12,80.33,watermelon,33604.69
50.47,66.15,63.37,6.26,31.93,83.69,249.42,papaya,44360.39
107.58,22.3,64.13,6.83,37.5,71.21,63.8,muskmelon,18686.27
43.37,75.95,81.32,7.28,17.66,20.93,85.42,chickpea,1389.8
2.55,12.66,18.64,6.89,21.93,72.08,136.19,orange,22017.11
23.88,65.79,19.28,6.84,22.51,61.43,153.95,kidneybeans,1841.11
28.1,54.38,27.57,6.3,15.76,52.91,20.69,lentil,1597.37
106.1,71.23,108.38,6.39,26.31,83.32,156.89,banana,36307.57
17.67,75.08,22.18,6.01,26.64,63.02,104.94,pigeonpeas,1299.28
22.84,62.52,24.27,5.02,33.27,28.22,59.71,mothbeans,934.98
38.97,28.73,48.27,7.25,33.91,70.06,164.92,mango,11179.4
22.16,60.25,25.05,6.48,27.6,38.85,74.65,mothbeans,954.82
105.98,38.34,29.39,7.02,25.56,67.38,290.18,coffee,1307.38
107.22,25.56,39.56,7.31,24.03,85.13,235.98,coffee,1282.88
97.64,40.94,58.82,6.96,28.46,54.81,114.77,pomegranate,16642.55
22.04,60.34,19.7,6.07,30.43,35.09,59.97,mothbeans,906.09
98.96,54.52,20.13,7.32,19.21,61.27,89.03,maize,6503.62
26.65,64.62,25.12,6.23,32.28,55.43,88.71,mungbean,1143.01
19.41,4.05,47.46,6.32,28.08,84.07,136.59,coconut,11306.84
7.58,129.9,199.48,5.84,19.02,79.52,102.9,apple,18515.6
18.79,39.32,33.47,5.87,9.51,58.08,199.7,grapes,16568.03
81.09,59.17,54.2,6.45,31.16,85.63,221.42,rice,4703.61
27.98,69.72,31.03,7.71,19.73,52.35,26.69,lentil,1546.49
29.38,54.27,33.79,4.07,26.02,36.92,43.49,mothbeans,872.31
124.71,62.21,54.73,6.13,24.62,45.1,112.31,wheat,4116.36
135.71,42.34,19.87,7.4,23.08,67.32,94.96,cotton,2663.0
91.97,12.22,57.57,7.15,38.89,61.68,76.98,muskmelon,16374.56
8.12,6.32,45.2,5.67,30.18,88.28,122.45,coconut,13271.6
27.96,55.44,25.38,6.52,16.32,65.85,194.19,kidneybeans,1773.78
52.35,55.59,45.72,6.78,25.87,78.2,239.24,papaya,44014.74
42.14,79.31,77.49,6.13,23.06,35.96,39.77,chickpea,1319.07
119.82,43.52,29.84,7.85,34.11,59.07,97.93,cotton,2850.23
46.24,59.92,61.94,6.46,27.91,83.38,194.55,papaya,47095.46
27.74,66.42,22.65,6.04,25.76,52.03,68.46,pigeonpeas,1292.13
8.62,139.87,207.92,5.8,9.81,61.41,107.6,apple,18512.36
22.87,43.31,35.02,6.16,20.47,67.55,153.78,grapes,18073.5
104.25,53.17,56.59,5.54,23.3,89.24,234.53,rice,5260.93
22.74,50.25,32.34,4.86,25.42,29.8,56.73,mothbeans,943.11
118.26,29.26,40.19,7.38,26.4,70.51,233.28,coffee,1255.53
107.49,55.85,61.17,6.31,26.03,48.44,111.49,pomegranate,19279.35
116.04,35.78,39.47,6.85,25.53,65.71,238.65,coffee,1201.18
31.72,21.61,49.09,7.32,26.47,64.89,173.11,mango,11781.26
103.55,11.58,52.47,7.04,28.13,66.33,65.02,watermelon,33671.51
99.04,20.89,64.79,6.57,35.53,65.22,34.35,muskmelon,17299.11
91.08,72.77,132.05,6.77,29.29,87.31,179.58,banana,36839.87
113.46,42.17,44.5,6.69,32.72,94.9,280.94,rice,4830.52
18.91,58.41,18.32,6.56,26.1,40.54,69.27,mungbean,1051.61
22.35,51.37,25.29,6.69,13.78,53.62,58.09,lentil,1613.82
28.07,55.32,21.0,4.65,32.81,42.4,55.99,mothbeans,892.09
117.41,20.99,28.12,6.64,17.71,84.47,287.48,coffee,1121.61
2.04,11.35,19.68,7.48,18.81,71.19,150.02,orange,19288.36
26.9,63.99,22.77,6.72,15.23,53.49,182.7,kidneybeans,1833.34
40.98,73.36,34.48,6.88,32.35,62.7,125.56,blackgram,1091.28
37.98,55.17,89.11,7.74,19.36,44.94,52.2,chickpea,1342.26
25.69,35.11,34.14,5.59,20.55,50.45,177.94,grapes,17541.41
88.79,27.84,37.64,6.28,25.29,71.22,271.43,coffee,1283.18
81.96,47.5,42.19,7.86,30.27,94.85,214.61,jute,3165.61
89.71,46.86,36.27,5.82,29.23,68.88,65.2,maize,6142.03
97.01,16.41,47.42,6.61,37.79,63.27,84.16,muskmelon,17440.08
32.58,47.27,33.44,6.52,22.66,67.66,97.2,grapes,17016.4
48.91,70.11,21.42,6.85,29.73,52.52,94.92,blackgram,1080.1
12.42,1.91,46.73,6.23,34.07,64.55,263.62,coconut,12261.67
85.52,55.81,45.41,6.83,29.95,77.24,274.88,rice,4985.58
89.43,71.09,133.19,6.46,32.53,78.47,134.81,banana,37649.23
42.36,60.72,27.06,6.39,30.92,67.91,81.25,blackgram,1129.03
28.89,55.26,30.16,7.92,16.69,42.75,47.15,lentil,1601.41
19.92,61.67,29.68,5.57,24.91,69.95,177.51,kidneybeans,1814.58
98.25,63.53,64.61,6.23,38.92,44.24,59.14,pomegranate,16982.85
18.24,53.3,34.95,6.43,13.3,46.24,69.63,lentil,1566.09
34.21,69.5,20.26,7.36,30.12,50.98,155.67,blackgram,1039.07
119.01,62.77,45.3,7.28,16.47,60.49,129.94,wheat,4258.49
37.54,32.74,37.71,7.04,32.21,68.76,136.42,mango,12674.93
93.78,14.36,58.09,6.39,38.6,65.0,67.91,muskmelon,17764.32
3.13,8.45,37.79,6.43,36.1,91.75,257.62,coconut,11834.46
108.38,56.1,27.95,5.51,25.59,50.15,70.5,maize,6400.4
106.05,20.07,50.76,6.04,33.3,74.87,84.31,muskmelon,18925.93
110.56,78.49,152.36,6.17,30.66,82.44,142.16,banana,34497.87
127.78,57.31,38.19,6.48,24.46,55.55,77.75,wheat,4163.19
5.49,9.39,38.49,5.53,32.02,81.59,148.95,coconut,12822.75
101.52,17.26,51.2,6.56,30.73,60.6,49.14,muskmelon,18384.77
91.21,61.5,27.93,6.78,22.23,50.49,116.58,maize,6318.29
17.22,57.3,33.68,6.52,14.19,48.3,49.45,lentil,1537.51
29.37,53.44,29.84,4.29,32.81,41.4,44.76,mothbeans,896.6
39.61,66.51,27.56,6.38,24.41,55.94,102.13,blackgram,1168.81
18.79,53.05,43.15,6.61,9.91,77.55,133.95,grapes,17255.34
121.49,36.38,27.33,6.09,28.7,55.9,155.3,cotton,2695.09
95.53,72.33,230.73,6.77,30.15,89.33,178.49,banana,35992.11
15.51,66.37,21.46,6.41,24.38,52.76,144.06,kidneybeans,1764.86
27.94,44.45,34.95,6.9,14.5,53.88,87.91,grapes,17701.66
133.42,63.37,46.21,7.33,20.09,56.07,68.98,wheat,4267.77
2.24,4.97,41.79,6.7,31.86,94.34,201.79,coconut,12930.61
93.16,12.17,47.07,6.15,39.52,73.17,77.44,muskmelon,15939.58
85.93,48.13,40.71,6.41,35.39,78.59,286.79,jute,3026.59
29.22,49.43,34.2,4.64,30.14,39.03,39.96,mothbeans,867.74
19.01,5.52,15.46,7.43,23.4,85.69,115.9,orange,18946.75
19.51,50.29,24.91,6.89,33.3,27.99,60.69,mothbeans,935.83
7.75,137.43,208.99,6.09,1.2,66.2,135.8,apple,17933.14
116.28,45.07,63.15,7.06,31.72,48.49,63.05,pomegranate,15558.13
38.04,27.47,44.62,6.73,29.01,69.23,190.58,mango,11787.1
18.16,74.71,29.58,6.22,25.69,45.2,176.43,pigeonpeas,1268.8
83.23,49.74,48.7,7.03,25.13,80.78,180.47,jute,3339.92
33.91,61.59,88.95,6.83,18.67,32.18,57.09,chickpea,1300.87
19.62,51.94,33.45,6.61,9.88,69.45,97.2,grapes,15786.08
90.39,11.33,45.34,7.32,28.54,67.45,35.19,muskmelon,14725.07
112.56,65.82,112.52,6.31,27.34,81.76,190.49,banana,35320.4
28.7,77.15,28.8,6.57,31.79,57.05,168.84,pigeonpeas,1271.73
89.63,47.22,43.53,6.2,25.88,79.82,262.77,rice,5232.94
11.11,14.54,7.75,7.39,19.71,75.36,165.59,orange,23214.16
108.02,42.82,28.2,6.22,35.39,73.38,70.87,cotton,2490.74
15.96,9.13,36.29,5.56,35.98,89.56,259.37,coconut,12102.12
115.89,24.75,60.56,6.05,37.07,65.39,87.35,muskmelon,16997.4
9.93,0.97,40.97,5.65,36.24,74.76,187.82,coconut,13476.73
129.19,48.28,25.49,6.63,29.48,44.19,151.07,cotton,2757.2
21.95,67.23,24.64,6.94,30.68,68.53,171.6,pigeonpeas,1456.0
112.77,21.8,50.11,6.85,33.01,57.6,62.71,watermelon,31684.68
31.16,39.79,38.09,6.14,20.93,61.24,89.4,grapes,17221.37
90.33,55.94,60.06,7.33,34.66,49.92,75.53,pomegranate,16290.44
102.83,46.79,18.4,6.16,32.97,43.45,184.21,cotton,2522.37
26.64,71.31,22.34,6.54,25.22,62.05,147.93,pigeonpeas,1354.56
14.79,6.02,12.91,7.01,13.99,66.89,151.2,orange,21486.18
7.55,6.52,41.31,7.43,32.01,67.76,191.55,coconut,13407.05
38.5,30.04,48.15,6.29,28.36,67.98,152.48,mango,11741.78
113.5,26.47,29.05,7.44,26.86,72.84,284.12,coffee,1236.41
52.11,55.08,59.25,6.65,30.09,83.88,184.09,papaya,46475.42
112.91,19.91,50.0,7.5,38.66,67.47,22.04,muskmelon,17587.62
106.28,50.24,39.96,7.37,21.96,64.24,60.08,wheat,3907.2
24.27,21.88,43.37,5.51,34.82,61.88,102.09,mango,11052.45
25.25,70.75,34.34,5.94,20.92,50.58,125.3,kidneybeans,1838.8
17.67,51.11,23.04,6.31,21.04,35.11,78.85,lentil,1590.59
28.84,20.88,46.82,7.11,27.09,55.22,136.64,mango,11236.26
45.45,55.91,33.34,6.03,29.83,55.51,131.17,blackgram,1037.85
26.13,64.45,34.52,6.8,22.21,49.82,79.32,lentil,1577.11
117.22,10.5,50.46,7.37,26.35,64.94,61.79,watermelon,29390.28
82.48,33.2,40.17,7.29,19.28,80.77,191.41,coffee,1264.09
108.2,41.4,49.62,6.67,31.22,91.3,217.24,rice,5026.81
39.14,56.19,19.13,6.9,33.94,57.99,154.58,blackgram,1076.4
83.99,44.09,54.87,5.53,34.69,82.54,257.9,rice,4870.25
116.63,51.35,47.94,6.17,20.95,94.38,196.6,rice,5040.28
30.45,50.79,30.78,5.91,13.05,70.96,155.66,grapes,16493.4
103.38,21.6,46.4,6.2,24.66,69.31,71.33,watermelon,32699.33
19.4,55.6,21.27,4.47,24.72,37.85,62.85,mothbeans,951.87
23.94,73.14,29.09,7.36,39.46,55.67,148.31,pigeonpeas,1377.37
18.25,38.78,33.46,6.63,14.65,55.0,120.39,grapes,15078.31
49.16,70.83,27.46,7.24,24.33,68.01,199.94,blackgram,1050.12
129.92,47.8,21.65,7.63,27.58,72.48,76.27,cotton,2789.37
109.32,30.31,37.08,6.97,17.0,72.37,165.13,coffee,1293.19
91.86,72.66,58.91,5.56,27.88,80.54,135.41,banana,35812.34
10.03,137.58,205.38,6.33,17.76,54.52,139.46,apple,18702.45
44.01,68.92,32.64,7.13,28.96,56.25,70.76,blackgram,1087.04
94.32,15.09,64.85,7.42,32.12,67.48,38.18,watermelon,29511.13
101.24,64.46,45.9,6.41,14.92,63.39,112.44,wheat,4044.1
1.82,4.01,40.97,6.99,29.99,90.56,150.15,coconut,12085.51
3.31,12.81,8.66,6.84,13.34,70.39,85.62,orange,21071.02
13.85,138.42,201.31,5.59,13.96,56.88,161.21,apple,17994.63
26.52,54.78,30.44,5.54,26.22,26.12,48.47,mothbeans,928.92
111.09,51.07,53.81,7.41,17.99,56.06,96.26,wheat,3758.77
93.53,13.15,52.03,6.8,39.76,77.4,70.05,muskmelon,17955.47
90.97,58.23,26.19,6.58,33.69,63.48,146.38,maize,6464.37
101.46,59.31,59.27,6.78,22.81,86.89,281.72,rice,4732.23
5.87,8.92,44.02,5.83,34.02,79.19,116.34,coconut,11504.67
96.75,17.55,48.04,7.21,35.84,79.58,29.56,muskmelon,17855.13
91.45,32.52,43.51,7.41,19.97,67.79,288.66,coffee,1290.87
